distribution,semantic_topic,population_count,sample_count,population_prop,sample_prop,abs_prop_diff,year,status_label
year_status_semantic_topic,war_geopolitics_international,637,4,0.00026542252808082844,0.0002,6.542252808082843e-05,2022.0,Need More Ratings
year_status_semantic_topic,crime_law_public_safety,17,0,7.083489760398876e-06,0.0,7.083489760398876e-06,2022.0,Not Helpful
year_status_semantic_topic,economy_business_crypto,12,0,5.000110419105088e-06,0.0,5.000110419105088e-06,2022.0,Not Helpful
year_status_semantic_topic,entertainment_sports_gaming,8,0,3.333406946070059e-06,0.0,3.333406946070059e-06,2022.0,Not Helpful
year_status_semantic_topic,health_science_medicine,27,0,1.125024844298645e-05,0.0,1.125024844298645e-05,2022.0,Not Helpful
year_status_semantic_topic,other_misc,252,3,0.00010500231880120686,0.00015,4.499768119879312e-05,2022.0,Not Helpful
year_status_semantic_topic,platform_media_internet,126,0,5.250115940060343e-05,0.0,5.250115940060343e-05,2022.0,Not Helpful
year_status_semantic_topic,politics_elections_government,102,1,4.2500938562393254e-05,5e-05,7.499061437606749e-06,2022.0,Not Helpful
year_status_semantic_topic,social_culture_identity,21,1,8.750193233433905e-06,5e-05,4.1249806766566094e-05,2022.0,Not Helpful
year_status_semantic_topic,war_geopolitics_international,17,0,7.083489760398876e-06,0.0,7.083489760398876e-06,2022.0,Not Helpful
year_status_semantic_topic,crime_law_public_safety,1970,22,0.000820851460469752,0.0011,0.00027914853953024807,2023.0,Helpful
year_status_semantic_topic,economy_business_crypto,2677,21,0.0011154412993286936,0.00105,6.544129932869363e-05,2023.0,Helpful
year_status_semantic_topic,entertainment_sports_gaming,1096,10,0.0004566767516115981,0.0005,4.332324838840192e-05,2023.0,Helpful
year_status_semantic_topic,health_science_medicine,1791,14,0.0007462664800514345,0.0007,4.626648005143447e-05,2023.0,Helpful
year_status_semantic_topic,other_misc,390,3,0.00016250358862091537,0.00015,1.2503588620915382e-05,2023.0,Helpful
year_status_semantic_topic,platform_media_internet,19265,155,0.008027260602004961,0.00775,0.00027726060200496117,2023.0,Helpful
year_status_semantic_topic,politics_elections_government,3057,26,0.0012737781292670213,0.0013,2.6221870732978658e-05,2023.0,Helpful
year_status_semantic_topic,social_culture_identity,1469,17,0.0006120968504721146,0.00085,0.00023790314952788533,2023.0,Helpful
year_status_semantic_topic,war_geopolitics_international,3308,24,0.0013783637721999694,0.0012,0.0001783637721999695,2023.0,Helpful
year_status_semantic_topic,crime_law_public_safety,14850,128,0.006187636643642547,0.0064,0.00021236335635745323,2023.0,Need More Ratings
year_status_semantic_topic,economy_business_crypto,13882,95,0.00578429440316807,0.00475,0.00103429440316807,2023.0,Need More Ratings
