method,accuracy,balanced_accuracy,resolved_coverage,h_to_nh,nh_to_h,recall_not_helpful,n_not_helpful,recall_needs_more_ratings,n_needs_more_ratings,recall_helpful,n_helpful,accuracy_pct,balanced_accuracy_pct,resolved_coverage_pct,recall_not_helpful_pct,recall_needs_more_ratings_pct,recall_helpful_pct
twostage_compact_cn1.0_ch0.3_tn0.25_th0.4,0.36403508771929827,0.3640350877192982,0.09649122807017543,0,1,0.039473684210526314,76,0.9078947368421053,76,0.14473684210526316,76,36.40350877192983,36.40350877192982,9.649122807017543,3.9473684210526314,90.78947368421053,14.473684210526317
twostage_compact_cn1.0_ch1.0_tn0.25_th0.5,0.36403508771929827,0.3640350877192982,0.10526315789473684,0,1,0.02631578947368421,76,0.8947368421052632,76,0.17105263157894737,76,36.40350877192983,36.40350877192982,10.526315789473683,2.631578947368421,89.47368421052632,17.105263157894736
twostage_vote_official_cn0.1_ch0.03_tn0.33_th0.5,0.36403508771929827,0.3640350877192982,0.11403508771929824,0,3,0.013157894736842105,76,0.8947368421052632,76,0.18421052631578946,76,36.40350877192983,36.40350877192982,11.403508771929824,1.3157894736842104,89.47368421052632,18.421052631578945
twostage_vote_official_cn0.1_ch0.1_tn0.33_th0.4,0.36403508771929827,0.3640350877192982,0.10087719298245613,0,0,0.013157894736842105,76,0.8947368421052632,76,0.18421052631578946,76,36.40350877192983,36.40350877192982,10.087719298245613,1.3157894736842104,89.47368421052632,18.421052631578945
twostage_vote_official_cn0.1_ch0.3_tn0.33_th0.6,0.36403508771929827,0.3640350877192982,0.13596491228070176,0,2,0.0,76,0.8552631578947368,76,0.23684210526315788,76,36.40350877192983,36.40350877192982,13.596491228070176,0.0,85.52631578947368,23.684210526315788
twostage_vote_official_cn0.3_ch1.0_tn0.33_th0.4,0.36403508771929827,0.3640350877192982,0.2236842105263158,0,4,0.10526315789473684,76,0.7368421052631579,76,0.25,76,36.40350877192983,36.40350877192982,22.36842105263158,10.526315789473683,73.68421052631578,25.0
twostage_vote_official_cn1.0_ch0.03_tn0.25_th0.5,0.36403508771929827,0.3640350877192982,0.09210526315789473,0,0,0.0,76,0.9078947368421053,76,0.18421052631578946,76,36.40350877192983,36.40350877192982,9.210526315789473,0.0,90.78947368421053,18.421052631578945
twostage_vote_cn0.1_ch0.03_tn0.33_th0.4,0.35964912280701755,0.35964912280701755,0.09210526315789473,0,1,0.0,76,0.9078947368421053,76,0.17105263157894737,76,35.96491228070175,35.96491228070175,9.210526315789473,0.0,90.78947368421053,17.105263157894736
twostage_vote_cn0.1_ch0.03_tn0.33_th0.6,0.35964912280701755,0.35964912280701755,0.07017543859649122,0,2,0.0,76,0.9473684210526315,76,0.13157894736842105,76,35.96491228070175,35.96491228070175,7.017543859649122,0.0,94.73684210526315,13.157894736842104
twostage_vote_cn0.1_ch1.0_tn0.33_th0.4,0.35964912280701755,0.35964912280701755,0.07017543859649122,0,2,0.0,76,0.9473684210526315,76,0.13157894736842105,76,35.96491228070175,35.96491228070175,7.017543859649122,0.0,94.73684210526315,13.157894736842104
twostage_vote_cn0.3_ch0.1_tn0.33_th0.5,0.35964912280701755,0.35964912280701755,0.09210526315789473,0,1,0.0,76,0.9078947368421053,76,0.17105263157894737,76,35.96491228070175,35.96491228070175,9.210526315789473,0.0,90.78947368421053,17.105263157894736
twostage_vote_cn0.3_ch1.0_tn0.33_th0.4,0.35964912280701755,0.35964912280701755,0.10964912280701754,0,1,0.0,76,0.881578947368421,76,0.19736842105263158,76,35.96491228070175,35.96491228070175,10.964912280701753,0.0,88.1578947368421,19.736842105263158
twostage_vote_cn0.3_ch1.0_tn0.33_th0.6,0.35964912280701755,0.35964912280701755,0.10526315789473684,0,2,0.0,76,0.8947368421052632,76,0.18421052631578946,76,35.96491228070175,35.96491228070175,10.526315789473683,0.0,89.47368421052632,18.421052631578945
twostage_compact_cn0.03_ch0.1_tn0.33_th0.6,0.35964912280701755,0.35964912280701755,0.07894736842105263,0,2,0.013157894736842105,76,0.9342105263157895,76,0.13157894736842105,76,35.96491228070175,35.96491228070175,7.894736842105263,1.3157894736842104,93.42105263157895,13.157894736842104
